Ngưỡng,Trades,Gross,Phí,Net PnL,Winrate,Hold (phút),Net/Trade
1.0,177,36617.61,778.8,35838.81,88.7,309.1,202.48
1.5,121,30699.08,532.4,30166.68,89.3,379.7,249.31
2.0,77,25802.7,338.8,25463.9,83.1,468.7,330.7
2.5,50,21354.37,220.0,21134.37,86.0,586.8,422.69
3.0,32,18021.3,140.8,17880.5,84.4,630.5,558.77
3.5,16,10167.14,70.4,10096.74,87.5,688.1,631.05
