Ngưỡng,Trades,Gross,Phí,Net PnL,Winrate,Hold (phút),Net/Trade
1.0,161,884.02,708.4,175.62,69.6,577.3,1.09
1.5,117,782.24,514.8,267.44,72.6,657.9,2.29
2.0,76,525.77,334.4,191.37,71.1,800.5,2.52
2.5,40,327.5,176.0,151.5,70.0,850.5,3.79
3.0,18,233.6,79.2,154.4,88.9,770.0,8.58
3.5,5,89.13,22.0,67.13,80.0,684.0,13.43
