timestamp,close_A,close_B,spread
2026-07-06 03:30:00+00:00,68.458,71.729,-3.271000000000001
2026-07-06 03:45:00+00:00,68.474,71.738,-3.263999999999996
2026-07-06 04:00:00+00:00,68.62,71.854,-3.2339999999999947
2026-07-06 04:15:00+00:00,68.652,71.892,-3.239999999999995
2026-07-06 04:30:00+00:00,68.694,71.908,-3.2139999999999986
2026-07-06 04:45:00+00:00,68.664,71.889,-3.2249999999999943
2026-07-06 05:00:00+00:00,68.781,72.013,-3.2319999999999993
2026-07-06 05:15:00+00:00,68.768,72.002,-3.2339999999999947
2026-07-06 05:30:00+00:00,68.854,72.085,-3.2309999999999945
2026-07-06 05:45:00+00:00,68.888,72.116,-3.2279999999999944
2026-07-06 06:00:00+00:00,69.112,72.353,-3.2409999999999997
2026-07-06 06:15:00+00:00,68.958,72.199,-3.2409999999999997
2026-07-06 06:30:00+00:00,68.805,72.072,-3.266999999999996
2026-07-06 06:45:00+00:00,68.808,72.098,-3.289999999999992
2026-07-06 07:00:00+00:00,68.534,71.866,-3.3319999999999936
2026-07-06 07:15:00+00:00,68.615,71.859,-3.2439999999999998
2026-07-06 07:30:00+00:00,68.158,71.431,-3.272999999999996
2026-07-06 07:45:00+00:00,67.952,71.152,-3.200000000000003
2026-07-06 08:00:00+00:00,68.163,71.458,-3.2950000000000017
2026-07-06 08:15:00+00:00,68.138,71.442,-3.303999999999988
2026-07-06 08:30:00+00:00,68.438,71.766,-3.328000000000003
2026-07-06 08:45:00+00:00,68.234,71.585,-3.350999999999999
2026-07-06 09:00:00+00:00,68.455,71.831,-3.3760000000000048
2026-07-06 09:15:00+00:00,68.333,71.698,-3.364999999999995
2026-07-06 09:30:00+00:00,68.46,71.829,-3.3689999999999998
2026-07-06 09:45:00+00:00,68.322,71.614,-3.2920000000000016
2026-07-06 10:00:00+00:00,68.191,71.564,-3.3729999999999905
2026-07-06 10:15:00+00:00,68.325,71.714,-3.388999999999996
2026-07-06 10:30:00+00:00,68.363,71.739,-3.3760000000000048
2026-07-06 10:45:00+00:00,68.613,72.022,-3.409000000000006
2026-07-06 11:00:00+00:00,68.676,72.073,-3.3969999999999914
2026-07-06 11:15:00+00:00,68.591,71.986,-3.3950000000000102
2026-07-06 11:30:00+00:00,68.452,71.86,-3.4080000000000013
2026-07-06 11:45:00+00:00,68.674,72.071,-3.3969999999999914
2026-07-06 12:00:00+00:00,68.609,72.0,-3.3910000000000053
2026-07-06 12:15:00+00:00,68.235,71.654,-3.418999999999997
2026-07-06 12:30:00+00:00,68.388,71.813,-3.424999999999997
2026-07-06 12:45:00+00:00,68.325,71.806,-3.4809999999999945
2026-07-06 13:00:00+00:00,68.54,72.031,-3.4909999999999997
2026-07-06 13:15:00+00:00,68.872,72.306,-3.4339999999999975
2026-07-06 13:30:00+00:00,68.61,72.066,-3.456000000000003
2026-07-06 13:45:00+00:00,68.741,72.194,-3.453000000000003
2026-07-06 14:00:00+00:00,68.674,72.112,-3.437999999999988
2026-07-06 14:15:00+00:00,68.933,72.396,-3.462999999999994
2026-07-06 14:30:00+00:00,69.048,72.545,-3.497
2026-07-06 14:45:00+00:00,68.808,72.266,-3.4579999999999984
2026-07-06 15:00:00+00:00,68.745,72.16,-3.414999999999992
2026-07-06 15:15:00+00:00,68.896,72.291,-3.394999999999996
2026-07-06 15:30:00+00:00,68.772,72.15,-3.378
2026-07-06 15:45:00+00:00,68.76,72.187,-3.4269999999999925
2026-07-06 16:00:00+00:00,68.742,72.196,-3.4539999999999935
2026-07-06 16:15:00+00:00,68.4,71.904,-3.5039999999999907
2026-07-06 16:30:00+00:00,68.363,71.872,-3.5090000000000003
2026-07-06 16:45:00+00:00,68.337,71.857,-3.519999999999996
2026-07-06 17:00:00+00:00,68.325,71.769,-3.4440000000000026
2026-07-06 17:15:00+00:00,68.458,71.9,-3.4420000000000073
2026-07-06 17:30:00+00:00,68.562,72.004,-3.4420000000000073
2026-07-06 17:45:00+00:00,68.561,71.95,-3.388999999999996
2026-07-06 18:00:00+00:00,68.603,72.028,-3.4250000000000114
2026-07-06 18:15:00+00:00,68.6,72.037,-3.437000000000012
2026-07-06 18:30:00+00:00,68.579,72.017,-3.4380000000000024
2026-07-06 18:45:00+00:00,68.585,72.022,-3.437000000000012
2026-07-06 19:00:00+00:00,68.651,72.086,-3.4350000000000023
2026-07-06 19:15:00+00:00,68.749,72.187,-3.4380000000000024
2026-07-06 19:30:00+00:00,68.741,72.174,-3.433000000000007
2026-07-06 19:45:00+00:00,68.721,72.131,-3.4099999999999966
2026-07-06 20:00:00+00:00,68.714,72.144,-3.430000000000007
2026-07-06 20:15:00+00:00,68.719,72.13,-3.4110000000000014
