Ngưỡng,Trades,Gross,Phí,Net PnL,Winrate,Hold (phút),Net/Trade
1.0,89,200.49,391.6,-191.11,59.6,638.1,-2.15
1.5,68,86.7,299.2,-212.5,61.8,749.1,-3.12
2.0,56,-20.49,246.4,-266.89,60.7,803.3,-4.77
2.5,44,235.18,193.6,41.58,65.9,798.4,0.94
3.0,29,290.68,127.6,163.08,65.5,839.0,5.62
3.5,19,272.04,83.6,188.44,68.4,803.7,9.92
