Ngưỡng ($/oz),~σ,Trades,Gross,Phí,Net PnL,Winrate (%),Hold (h),Net/trade
3.72,0.5,19,152.11,83.6,68.51,89.47,63.58,3.61
5.58,0.75,12,109.96,52.8,57.16,91.67,87.17,4.76
7.44,1.0,11,118.26,48.4,69.86,100.0,85.36,6.35
9.3,1.25,9,117.43,39.6,77.83,100.0,96.33,8.65
11.16,1.5,7,103.23,30.8,72.43,100.0,107.14,10.35
13.02,1.75,7,121.69,30.8,90.89,100.0,86.43,12.98
14.88,2.0,4,75.85,17.6,58.25,100.0,46.75,14.56
16.74,2.25,2,39.7,8.8,30.9,100.0,71.5,15.45
18.6,2.5,1,23.65,4.4,19.25,100.0,111.0,19.25
