Ngưỡng,Trades,Gross,Phí,Net PnL,Winrate,Hold (phút),Net/Trade
1.0,128,620.14,563.2,56.94,70.3,433.5,0.44
1.5,87,457.84,382.8,75.04,70.1,544.1,0.86
2.0,60,311.38,264.0,47.38,71.7,630.0,0.79
2.5,42,210.3,184.8,25.5,69.0,733.9,0.61
3.0,24,119.48,105.6,13.88,50.0,785.0,0.58
3.5,13,61.16,57.2,3.96,53.8,910.4,0.3
