Ngưỡng,Trades,Gross,Phí,Net PnL,Winrate,Hold (phút),Net/Trade
1.0,170,1353.89,748.0,605.89,72.4,551.3,3.56
1.5,121,964.41,532.4,432.01,75.2,635.7,3.57
2.0,77,596.14,338.8,257.34,71.4,819.0,3.34
2.5,48,554.13,211.2,342.93,75.0,808.8,7.14
3.0,22,339.21,96.8,242.41,77.3,834.5,11.02
3.5,8,116.54,35.2,81.34,75.0,735.0,10.17
